,title,price,link
0,"Geutejj Motivational Water Bottle Set, 3-in-1, 2L/1L/500ml, Leakproof, BPA-Free, with Time Marker, Straw, Stickers, Multicolour  ",556,https://amazon.in//Geutejj-Motivational-Leakproof-BPA-Free-Multicolour/dp/B0DCGG38NC/ref=sr_1_238?crid=3M8HD803GYBIO&dib=eyJ2IjoiMSJ9.Jq56SXqaG7DIH8woJSplfN637UwBugJdoFLy9NQXEgDBV7kYiCsTmhyst2uzwSHXs9qajkg8ef_f14r9YL-NMpshUHVU1oTVuVtvJkOOT0iC1e7qhRu7ItvUbgk2rmmp3kWBKVkgnRuupKu6vCI4Pkai_MaPmtp4roP-YFKvRgGLJPJgVP1Q1XSwxarBkbs2aAr48gxYCnizwW_RtUTKbtPG1dlML9pBjSmbKeVjAZKxekYmOvU3jW5DqvPy4knk7wK6I7Ozj3dWDYE4eH-JwNB-sK5QVLKwFqDHraFeE-s.n3UkxPTYgwWjfxoN6uTNxzP1JF211RU2P5g00x6lTGE&dib_tag=se&keywords=2L+water+bottle&qid=1723562110&sprefix=lapto%2Caps%2C314&sr=8-238
1,"Boldfit Gym Gallon Bottle, 2 Litre Water Bottle for Gym Workout, Motivational Sipper Bottle for Adults, Gallon Gym Water Bottle, Fitness for Men & Women 2 Litre Gallon - (Blue Orange, Plastic)  ",794,https://amazon.in//sspa/click?ie=UTF8&spc=MTozOTU2ODg0MjQwODE1MDE4OjE3MjM1NjIwOTM6c3BfYXRmOjIwMDU4Mzg1MTYxOTk4OjowOjo&url=%2FBoldfit-Gallon-Workout-Motivational-Fitness%2Fdp%2FB0B56X29L7%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3M8HD803GYBIO%26dib%3DeyJ2IjoiMSJ9.hjhhbJ1IFAf18JP0Mz8HPVBSr1X2EDBG3pftdCEo_Z6X641mwFgCcMRiRLCZIaiTGWHm4vTTH2eLmIjzUQgcsiV8QVhaX1cKFueF8Sx2PVZfAK5unEJZ_RTk7YNuE8KeQmUNc79RDYVUrcwVgTvB9_0w3sJH7-Z0YDHjBFS8i_hhz1iwlQ1iVfZHWkG_1r-NIULYni_kBzzhuH9-v-ekcoc8b_3EdK6PZQ-NYCarWht9Hqs84EESZb4igoz0m8q360qDV1F49qK2HJxeGiHPkw0-gy30JBIJBVxFKzjBYBY.C1qZJ5K_BF5Dw4p9lqLQRUWlcI_1CSZOLxsMalFakE0%26dib_tag%3Dse%26keywords%3D2L%2Bwater%2Bbottle%26qid%3D1723562093%26sprefix%3Dlapto%252Caps%252C314%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"CASPIAN /// Hike Stainless Steel Water Bottle (Pruss Blue & Forest Green, 1 Litre, Set of 2)| Leak Proof Thunder for Fridge Home Office Travel School Kids Boys Girls Adults Sports Gym Yoga  ",699,https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjU1ODExNjIxNjczODUzOjE3MjM1NjIxMjQ6c3BfYnRmOjMwMDExMzgxNjM1OTUzMjo6MDo6&url=%2FCASPIAN-Pruss-Blue-Forest-Green%2Fdp%2FB0CNXDXZ4V%2Fref%3Dsr_1_490_sspa%3Fcrid%3D3M8HD803GYBIO%26keywords%3D2L%2Bwater%2Bbottle%26qid%3D1723562124%26sprefix%3Dlapto%252Caps%252C314%26sr%3D8-490-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DACIMSM6G9FAZ4
3,D RAJ 2 L Capacity Belt Straw Transparent Motivational Water Bottles with Time Marker Leak proof & break-proof | Best Usage for Office/School/College/Gym/Travel Bottle | BPA-Free Fitness Sports Bottle  ,399,https://amazon.in//RAJ-Transparent-Motivational-Water-Bottle/dp/B0D9PHVZ1D/ref=sr_1_12?crid=3M8HD803GYBIO&dib=eyJ2IjoiMSJ9.hjhhbJ1IFAf18JP0Mz8HPVBSr1X2EDBG3pftdCEo_Z6X641mwFgCcMRiRLCZIaiTGWHm4vTTH2eLmIjzUQgcsiV8QVhaX1cKFueF8Sx2PVZfAK5unEJZ_RTk7YNuE8KeQmUNc79RDYVUrcwVgTvB9_0w3sJH7-Z0YDHjBFS8i_hhz1iwlQ1iVfZHWkG_1r-NIULYni_kBzzhuH9-v-ekcoc8b_3EdK6PZQ-NYCarWht9Hqs84EESZb4igoz0m8q360qDV1F49qK2HJxeGiHPkw0-gy30JBIJBVxFKzjBYBY.C1qZJ5K_BF5Dw4p9lqLQRUWlcI_1CSZOLxsMalFakE0&dib_tag=se&keywords=2L+water+bottle&qid=1723562093&sprefix=lapto%2Caps%2C314&sr=8-12
4,"DTS Home Motivational Sipper Water Bottle Set - 2L, 750ml & 300ml, Gradient, Light-weight, Leak-proof, BPA-free  ",500,https://amazon.in//Home-Motivational-Sipper-Water-Bottle/dp/B0DBRP8TN3/ref=sr_1_126?crid=3M8HD803GYBIO&dib=eyJ2IjoiMSJ9.ZtJdrL1MzBGwKAtzQa4TTNS9uriqnEx-gitwUJuv_Q_4yrsRu441Ys2qv3wE8tSBsFnTBqqzIY2z8972jeShAhwjf9mueLP1iecWoSTKGc3tI6XNEc3u9TrChS9BWoYrCOYoz0szfJTnOSLxl__dEkL1jgiz07ltmwwAzAH9nFbCY6AD-3jlZR-5PGcZ-IxzuW5UVzN_nIBstzlHZeQIhasdfOOEhLWsduedGAGOk3WbEY8FhLnfNSQ_7xZ0CDEl3z_SX_pyn-15d7X2yuQp65Z7hbnxwcBzL-U7dQ1V5zg.DowMCZVYzu45r7OFaCpu1iQw9dqaGnddXdRFkKz4UEg&dib_tag=se&keywords=2L+water+bottle&qid=1723562102&sprefix=lapto%2Caps%2C314&sr=8-126
5,"Rioware® Water Bottle Stainless Steel 750ml Steel Water Bottles For Kids,Girls,Boys,Fridge,School,Gym, Home,office, Leak Proof & BPA Free with Sipper Cap-Pack Of 01  ",366,https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NjkzMDA3MjY2NDAzNTUyOjE3MjM1NjIxMzQ6c3BfYXRmX25leHQ6MzAwMjQ5NTkzNzI4MDMyOjowOjo&url=%2FRioware%25C2%25AE-Bottle-Stainless-Bottles-Cap-Pack%2Fdp%2FB0D9518D3M%2Fref%3Dsr_1_769_sspa%3Fcrid%3D3M8HD803GYBIO%26keywords%3D2L%2Bwater%2Bbottle%26qid%3D1723562134%26sprefix%3Dlapto%252Caps%252C314%26sr%3D8-769-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
6,"ASUS Zenbook 14, Intel Core Ultra 7, 14"" 3K OLED 16:10 120 Hz, Thin & Light Laptop, Built-in AI (16GB RAM/1 TB//Win 11/Office 2021/Backlit/Touchscreen/75WHr /Foggy Silver/1.28 Kg), UX3405MA-PZ751WS  ","1,21,974",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMzY1NzE1NTYxNTgzOTE0OjE3MjM1NDE0MzQ6c3BfYXRmX25leHQ6MzAwMjUwODM5NTIwNTMyOjowOjo&url=%2FASUS-Zenbook-Intel-Ultra-Built%2Fdp%2FB0D89TT6VK%2Fref%3Dsr_1_97_sspa%3Fcrid%3D3M8HD803GYBIO%26dib%3DeyJ2IjoiMSJ9.UncPCz7IDBHSMhaj_6GBAFx2pXp5Fcr8XPcs8hrz-_fwvVGsV3BcJlxZC1EOZu8kqRF4hi2jfPPa7BwRW2FMz6ZGCHLAdgv-YJtEV_Ml-EGEJ0XvO6yCrgIllFQIPGKK5tRrZrTQ-j-AfJ4te8mYopUiLh_JPaawBCk9ZdwDBVgn875b35haHshqDCTrlGIQiehr8_TSTe32RVfN4RZr4EAXIK8z4L0m-yyncKyl_Yk.Qpri9i8n6fFR6-9IIwpPRvLU0JjvG9ggqo5kkRCWBS0%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723541434%26sprefix%3Dlapto%252Caps%252C314%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
7,"ASUS TUF F15 Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz,(16GB RAM/512GB SSD/4GB NVIDIA GeForce RTX 2050/Windows 11/ RGB Backlit KB/Black/2.30 kg), FX506HF-HN025W  ","50,990",https://amazon.in//ASUS-SmartChoice-i5-11400H-GeForce-FX506HF-HN025W/dp/B0C27SD9YR/ref=sr_1_53?crid=3M8HD803GYBIO&dib=eyJ2IjoiMSJ9.SEnqVI6lLNwmuk_FxvWJQfBvVI74on2dsk1Vt1lfQnfJOlzNoMLjdNJ0E4XtD4UFOmAbWQeaEohpLnePZTBSsDrG5kwXVM8v639mtTE7u8NkkYEM5cSZEqsb-VjNNAP4OyNaCqN_CpibibvH1DWzYEqE3d6706EyGKYMc9WXinC-8T5f6d5CpuLnkC8y30x4XEH-qzyhHRNZSAeqiytifibE9qcMNITDbuiVzMuc_4I.UibDR96BHfkKrUxFKeocb6_tH_5Sy5EpelzIK-X6mZ4&dib_tag=se&keywords=laptop&qid=1723541428&sprefix=lapto%2Caps%2C314&sr=8-53
8,"ABOUT SPACE Water Bottle -3Pcs 2L, 750ml & 300ml Light-weight, Leak-proof, BPA-free Motivational Water Bottle Sipper, Time Marker & Mobile Holder for Online Gym Classes,Kids,Adults Office (Black)  ",749,https://amazon.in//ABOUT-SPACE-Light-weight-Leak-proof-Motivational/dp/B0D8TL7897/ref=sr_1_42?crid=3M8HD803GYBIO&dib=eyJ2IjoiMSJ9.hjhhbJ1IFAf18JP0Mz8HPVBSr1X2EDBG3pftdCEo_Z6X641mwFgCcMRiRLCZIaiTGWHm4vTTH2eLmIjzUQgcsiV8QVhaX1cKFueF8Sx2PVZfAK5unEJZ_RTk7YNuE8KeQmUNc79RDYVUrcwVgTvB9_0w3sJH7-Z0YDHjBFS8i_hhz1iwlQ1iVfZHWkG_1r-NIULYni_kBzzhuH9-v-ekcoc8b_3EdK6PZQ-NYCarWht9Hqs84EESZb4igoz0m8q360qDV1F49qK2HJxeGiHPkw0-gy30JBIJBVxFKzjBYBY.C1qZJ5K_BF5Dw4p9lqLQRUWlcI_1CSZOLxsMalFakE0&dib_tag=se&keywords=2L+water+bottle&qid=1723562093&sprefix=lapto%2Caps%2C314&sr=8-42
9,"SAJANI Flavour Water Bottle With Flavour Pods, Leak Proof Sports Water Cup With Straw, Fruit Fragrance Water Bottle For Outdoor, Sports And Gym (Multicolor) (Pack Of 1) (720 ml - Peach)  ","1,499",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NTM0OTkxNDc3MjIzNDM5OjE3MjM1NjIxMTk6c3BfbXRmOjMwMDI3ODI5MzcyMTczMjo6MDo6&url=%2FSAJANI-Flavour-Fragrance-Outdoor-Multicolor%2Fdp%2FB0D9P5VCCZ%2Fref%3Dsr_1_341_sspa%3Fcrid%3D3M8HD803GYBIO%26keywords%3D2L%2Bwater%2Bbottle%26qid%3D1723562119%26sprefix%3Dlapto%252Caps%252C314%26sr%3D8-341-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
